	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S13S19	-0.034677111	-0.343929437	-0.31890369	-0.850829249	-0.019270067	0.052503053	-59.88624339	0.068613023	204	221	415	411	227	173	121	144	1								
S2S15	0.183516209	-1.358697493	-0.077331732	-0.136737348	-0.029070673	0.176863181	-60.29247312	0.249123868	132	321	327	276	243	72	122	119	0.492660459								
S9S7	-0.53347123	-4.605170186	-0.059791077	-0.395807542	-0.033653298	0.029064039	-60.62988506	0.423434398	336	466	309	359	249	209	123	96	0.862636605								
S17S19	-0.042307334	-0.772663867	0.282858281	0.765019383	0.092579289	-0.069458128	-61.53103448	-0.261478302	210	259	58	58	106	298	124	191	0.207011438								
S2S20	0.177032579	1.373734545	-0.089751157	-0.083042371	-0.042943069	0.036945813	-61.73333333	0.328407499	135	117	340	254	263	197	125	107	0.622493318								
S16S4	0.061844666	0.627725262	0.4648083	1.297560647	0.15000555	0.05090312	-61.75615764	-0.509386414	161	179	11	9	63	175	126	233	0.041712112								
S11S22	-0.506782216	-4.605170186	-0.052035656	-0.316799676	0.049278286	0.074188034	-61.78917379	0.177668857	331	466	299	338	142	146	127	130	0.396473309								
S3S4	1.094624263	2.287773258	0.041486531	0.246597601	0.220326061	0.397536946	-62.08965517	-0.096504976	78	53	153	110	28	4	128	165	0.008131391								
S12S21	-0.360629626	-0.254522711	0.035067291	0.301086803	0.081467468	0.154679803	-62.45747126	0.878508096	298	216	164	98	117	87	129	54	0.007840148								
S2S21	0.321143929	-1.527501272	-0.097055602	-0.105736842	0.023845236	0.23381535	-62.67956989	0.27379174	97	342	349	265	170	44	130	116	0.658154754								
S5S30	-1.131744219	-2.498138549	0.041146959	-0.071788238	-0.078996749	0.076312576	-63.26190476	-0.052180018	359	413	154	247	303	144	131	158	0.311829331								
S3S18	1.340334555	-1.634649401	0.002484033	0.17155277	0.139034903	0.058565955	-63.53448276	-0.17321755	42	353	210	130	71	167	132	179	0.034560257								
S4S15	-1.673307912	-1.442929075	-0.362636885	-0.925411915	-0.155676456	-0.053694581	-64.25517241	0.741349566	478	335	432	421	388	287	133	60	1								
S2S12	1.40549212	-0.754174847	-0.015998744	0.051644493	0.04963496	0.207119021	-65.30322581	0.466757699	30	258	242	174	141	57	134	89	0.080938171								
S17S15	-0.301526718	-1.346701979	-0.108060586	-0.461785944	-0.150541797	-0.320197044	-66.46436782	0.240968616	286	319	358	367	384	480	135	122	1								
S7S14	1.692740628	-4.605170186	0.047008797	0.197791598	0.048028003	-0.042124542	-66.89153439	0.133199614	5	466	147	125	143	274.5	136	136	0.061985445								
S13S16	-1.7946938	0.994631271	-0.071560138	-0.256034577	-0.104400693	-0.016420361	-66.89901478	1.156339768	489	140	325	315	331	253	137	35	0.529942993								
S17S28	1.374392069	2.469409778	-0.05307691	-0.088910164	-0.019683156	-0.166502463	-67.03218391	0.187901303	35	28	302	257	231	390	138	127	1								
S14S10	-0.3640859	0.980686036	0.11608537	0.130243987	0.083737156	-0.103003337	-67.07956989	0.224428972	299	143	81	145	115	341	139	123	0.058140224								
S6S29	0.366884655	2.399522554	-0.011143771	0.198995665	0.004712156	-0.034798535	-67.23809524	0.334133538	90	39	233	124	196	266	140	106	0.142741748								
S5S31	-1.162174559	-2.592345398	-0.017576248	-0.1917642	-0.077268532	0.035030104	-67.35960591	-0.124029945	366	425	244	299	300	203	141	170	0.293757335								
S10S18	-0.995387454	-1.206949352	-0.053763775	-0.238158554	-0.16806572	-0.244938821	-68.04731183	0.242663339	347	301	305	309	403	448.5	142	120	1								
S3S1	1.221064489	2.613514141	-0.013346601	0.168732124	0.152471969	0.342857143	-68.5862069	-0.567120784	63	12	237	132	58	12	143	240	0.077006723								
